test_size,alpha,r2_train,r2_test
0.1,1,0.8215954846802466,0.6331961486920525
0.1,10,0.7319428579849435,0.5237407448921589
0.1,20,0.6334058710787136,0.4537578046778259
0.1,50,0.4342104367999762,0.3122289244417118
0.1,100,0.2799460352536094,0.1987781296771779
0.1,1000,0.03723686520779601,0.015165648366282425
0.15,1,0.8051799870781211,0.761565014240211
0.15,10,0.7098515164285137,0.600663116610916
0.15,20,0.606464112242018,0.487891623484771
0.15,50,0.4062279466491501,0.29647272934043867
0.15,100,0.25782286933630905,0.16303263949305047
0.15,1000,0.033548529735100696,-0.03225399096816983
0.2,1,0.8086220150952672,0.749710232028882
0.2,10,0.7123102008925911,0.6094590369708333
0.2,20,0.6058545561582411,0.5051447904900301
0.2,50,0.4022631825982075,0.32149963489965494
0.2,100,0.25377419715779426,0.19178000194831524
0.2,1000,0.0327472836397813,0.0015255496243664624
0.25,1,0.7907556763623185,0.7662608977411056
0.25,10,0.6866495819554104,0.588513624843814
0.25,20,0.5741066864112185,0.4630880245040031
0.25,50,0.37087962790709317,0.2628593005033548
0.25,100,0.22999132340959594,0.13211878544978783
0.25,1000,0.029011508846224388,-0.048492930926273825
0.3,1,0.8019096956242228,0.7229152418120437
0.3,10,0.6972999763541186,0.5603471462368126
0.3,20,0.5803562050609187,0.44320668914700123
0.3,50,0.37167214163765605,0.2579760454293243
0.3,100,0.2291835823297862,0.1386878636845028
0.3,1000,0.02869348625652801,-0.023987956519190057
0.35,1,0.8045643452982651,0.7344732155937121
0.35,10,0.6925798052471672,0.5792741977506466
0.35,20,0.5719120898019714,0.4645650661031844
0.35,50,0.3620575520113716,0.2840530862792171
0.35,100,0.22173103538619787,0.1689583583997878
0.35,1000,0.02751955609879808,0.013616138481454265
0.4,1,0.8029928516672463,0.7322038521976935
0.4,10,0.6843869325122756,0.572139598284161
0.4,20,0.560147843251964,0.45474988602873656
0.4,50,0.3500030357648003,0.2748926717552683
0.4,100,0.2127087714813244,0.16290789536390737
0.4,1000,0.02614564686893872,0.014581115155126612
0.45,1,0.7818291385671408,0.7584740953282727
0.45,10,0.6682238537093356,0.6103408263891312
0.45,20,0.549988308313849,0.4865702415446014
0.45,50,0.34650657100152915,0.2914326997402572
0.45,100,0.21160408431504185,0.16793074562374233
0.45,1000,0.02616810636251532,0.002516525969518346
0.5,1,0.787515526226625,0.7615020254224947
0.5,10,0.6624413444823625,0.6123515422182684
0.5,20,0.537389544740922,0.4849114260946711
0.5,50,0.33156718155051124,0.28739386487849194
0.5,100,0.2000471749429268,0.16505986941917616
0.5,1000,0.024368820232477884,0.004426887655949008
0.55,1,0.7727677882829695,0.7501925987510645
0.55,10,0.6380770778878835,0.5812533518594918
0.55,20,0.506957571652463,0.44602781192605834
0.55,50,0.3038779020411452,0.24985190289278925
0.55,100,0.18040196336308123,0.13456902164467488
0.55,1000,0.021548467909693225,-0.011017605583927947
0.6,1,0.7964790066586486,0.6992422587505749
0.6,10,0.6340292041404094,0.514826239730467
0.6,20,0.4905190598873307,0.3817744822638999
0.6,50,0.2842509309218798,0.20475453084161654
0.6,100,0.1657572571027831,0.10721406623181506
0.6,1000,0.019387934110468796,-0.010551424937337073
0.65,1,0.8116091471004132,0.7070122240376457
0.65,10,0.632639176029649,0.5150771905554427
0.65,20,0.4827871568147608,0.37824103954037425
0.65,50,0.27515867051512155,0.20065524867648266
0.65,100,0.15909625331213073,0.1048335845567473
0.65,1000,0.018428269657665974,-0.009087942125565629
0.7,1,0.8007854943638151,0.6928138661434134
0.7,10,0.598004644169685,0.4610531114900682
0.7,20,0.4425711541920847,0.3214679715820564
0.7,50,0.24333009690427343,0.1557107333017742
0.7,100,0.13820343735206686,0.07171764065954667
0.7,1000,0.015690591905910822,-0.02407923095072162
0.75,1,0.8040220792533296,0.6760722135616747
0.75,10,0.5783219253079481,0.4301320264052252
0.75,20,0.42081180753972003,0.2883741797181235
0.75,50,0.2271981993339146,0.12658488980873306
0.75,100,0.1279377197339776,0.046898878943653965
0.75,1000,0.014389708010719371,-0.042322708362376504
